ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Assignments,Task color,Web Link,Notes
19,"  reflection - simple types",1/20/20,1/24/20,5,100,0,,,1.10,,,,,
115,"  reflection methods",2/5/20,3/5/20,22,27,0,,,1.11,,,"#000000",,
100,"    max",2/13/20,2/13/20,1,0,0,,112,1.11.1,,,,,
101,"    min",2/14/20,2/14/20,1,0,0,,100,1.11.2,,,,,
102,"    first",2/17/20,2/17/20,1,0,0,,101,1.11.3,,,,,
103,"    last",2/18/20,2/18/20,1,0,0,,102,1.11.4,,,,,
104,"    avg",2/5/20,2/5/20,1,100,0,,,1.11.5,,,,,
105,"    now",2/6/20,2/6/20,1,100,0,,104,1.11.6,,,,,
106,"    extract",2/7/20,2/7/20,1,100,0,,105,1.11.7,,,,,
107,"    datetrunc",2/10/20,2/10/20,1,100,0,,106,1.11.8,,,,,
108,"    attimezone",2/11/20,2/11/20,1,100,0,,107,1.11.9,,,,,
109,"    integration test",2/24/20,3/5/20,9,0,0,,,1.11.10,,,,,
110,"    sphere distance",2/19/20,2/20/20,2,0,0,,103;108,1.11.11,,,,,
111,"    GeomFromEWKB",2/21/20,2/21/20,1,0,0,,110,1.11.12,,,,,
112,"    bit_length",2/12/20,2/12/20,1,100,0,,108,1.11.13,,,,,
165,"  alter table",3/2/20,3/4/20,3,0,0,,152,1.12,,,"#000000",,
166,"    add new column",3/2/20,3/2/20,1,0,0,,,1.12.1,,,,,
167,"    remove column",3/3/20,3/3/20,1,0,0,,166,1.12.2,,,,,
168,"    column type",3/4/20,3/4/20,1,0,0,,167,1.12.3,,,,,
160,"  rename",3/5/20,3/10/20,4,0,0,,,1.13,,,"#000000",,
161,"    column",3/5/20,3/5/20,1,0,0,,165,1.13.1,,,,,
162,"    table",3/6/20,3/6/20,1,0,0,,161;165,1.13.2,,,,,
163,"    schema",3/9/20,3/9/20,1,0,0,,162,1.13.3,,,,,
164,"    database",3/10/20,3/10/20,1,0,0,,163,1.13.4,,,,,
149,"  create",2/24/20,2/25/20,2,0,0,,112,1.14,,,"#000000",,
150,"    database",2/24/20,2/24/20,1,0,0,,,1.14.1,,,,,
151,"    schema",2/25/20,2/25/20,1,0,0,,150,1.14.2,,,,,
152,"  drop",2/26/20,2/28/20,3,0,0,,,1.15,,,"#000000",,
153,"    schema",2/26/20,2/26/20,1,0,0,,,1.15.1,,,,,
154,"    table",2/27/20,2/27/20,1,0,0,,153,1.15.2,,,,,
155,"    database",2/28/20,2/28/20,1,0,0,,154,1.15.3,,,,,
187,"  types",2/5/20,2/14/20,8,75,0,,,1.16,,,"#000000",,
210,"    array",2/5/20,2/7/20,3,100,0,,0,1.16.1,,,,,
211,"    geometry",2/10/20,2/11/20,2,100,0,,210,1.16.2,,,,,
212,"    point2d",2/12/20,2/12/20,1,100,0,,211,1.16.3,,,,,
213,"    integration tests",2/13/20,2/14/20,2,0,0,,212,1.16.4,,,,,
207,"  where",2/12/20,2/21/20,8,0,0,,,1.17,,,"#000000",,
208,"    refactor",2/12/20,2/14/20,3,0,0,,,1.17.1,,,,,
209,"    index",2/17/20,2/21/20,5,0,0,,208,1.17.2,,,,,
274,"  bugfixing for final deployment",3/11/20,3/27/20,13,0,0,,160,1.18,,,,,
227,D2 pipelines,2/10/20,3/4/20,18,0,0,,,2,,,"#000000",,
228,"  D2 pipelines detailed analysis",2/10/20,2/11/20,2,0,0,,,2.1,,,,,
240,"  stay maker improvement",2/12/20,2/17/20,4,0,0,,228,2.2,,,,,
241,"  episode maker improvement",2/18/20,2/28/20,9,0,0,,240,2.3,,,,,
242,"  tests, review and documentation",3/2/20,3/4/20,3,0,0,,241,2.4,,,,,
230,D2 on BNext - real life tests simulation,2/17/20,3/20/20,25,0,0,,,3,,,"#000000",,
231,"  prepare plan for tests",2/17/20,2/18/20,2,0,0,,,3.1,,,,,
232,"  tests implementation - benchmarks",3/2/20,3/6/20,5,0,0,,,3.2,,,,,
233,"  tests implementation - service load simulation",3/9/20,3/13/20,5,0,0,,8-FF;232,3.3,,,,,
234,"  run tests, gather results and analyse",3/16/20,3/20/20,5,0,0,,233,3.4,,,,,
249,BN pipelines,3/5/20,3/20/20,12,0,0,,227,4,,,"#000000",,
264,"  stay maker improvement",3/5/20,3/12/20,6,0,0,,,4.1,,,,,
265,"  episode maker improvement",3/13/20,3/20/20,6,0,0,,264,4.2,,,,,
272,BNext and BN integration,3/13/20,3/30/20,12,0,0,,264,5,,,"#000000",,
281,"  planning changes",3/13/20,3/16/20,2,0,0,,,5.1,,,,,
283,"  implementation of connector on BN side",3/17/20,3/23/20,5,0,0,,281,5.2,,,,,
285,"  implementation of connector on BNext side",3/17/20,3/24/20,6,0,0,,281,5.3,,,,,
291,"  integration tests with performance qualification",3/25/20,3/30/20,4,0,0,,283;285,5.4,,,,,
